Year,Month,Day,Temperature (°C),Humidity (%),Wind Speed (km/h),Pressure (hPa),Rainfall (mm)
2020,1,1,28.87265030310195,85.48250770018791,19.843072757021282,1002.3605494589616,7.096821326816181
2020,1,2,30.356988023921275,73.20781928383917,17.065755464774035,1018.7058079942491,0.7020235202362612
2020,1,3,30.740643082187514,60.151574349718366,8.790299793883916,1002.6176535542414,15.791231020040646
2020,1,4,23.694700081965546,75.40324096056702,16.46510776837108,1005.4772573913833,8.141123133754778
2020,1,5,24.17121471646437,55.63175485555036,0.7807350068424501,1004.6892912121265,11.953973704186051
2020,1,6,23.010282907233282,84.16215681661654,15.784849876830906,1015.1055092223014,15.689615499704184
2020,1,7,39.64052977247868,77.08914595424417,15.052837656423064,1001.4325241769512,1.3600132600312542
2020,1,8,37.75155281923398,75.16478283791781,13.794896384608016,1014.577500577671,19.367454791842086
2020,1,9,38.156921316020714,88.46523169016238,18.641899472215755,1016.3325888634615,5.575094252842019
2020,1,10,37.099868547580385,82.57690932787868,1.1383151752613063,1008.4051047895443,18.774674328510276
2020,1,11,20.851155138912358,60.76334656832487,4.143980241032594,1002.4032985594325,12.818023440428929
2020,1,12,25.213619856175058,56.75962301490891,7.644203335263917,1016.1103462875482,10.763609224506592
2020,1,13,31.20769368070934,69.42818357495375,4.352175343340003,1017.132698870863,2.002101103829259
2020,1,14,30.825660353515485,89.37238219951084,14.012055172327319,1019.801687348815,18.545609931716324
2020,1,15,31.080354729415255,53.43382007313392,19.188384174494125,1010.8728026398128,19.820977173067295
2020,1,16,36.51344343010328,55.605087935924544,17.11303186403028,1003.7219432073553,5.7341859051744
2020,1,17,39.05075988505395,67.95191399521006,1.06684830911836,1006.0811401585395,1.9084981392600953
2020,1,18,35.1037601688019,51.06297897725866,12.57345792567583,1002.5070035364771,5.601883105399123
2020,1,19,34.40033867194282,71.49214346983163,6.294842296298347,1002.37989124186,6.456190455077964
2020,1,20,30.05399752607744,61.737034222454966,6.432106791581729,1001.5886562458647,13.995807522735571
2020,1,21,27.970552744758102,58.94763264290633,1.885173173855641,1013.2120340323597,6.6733165694200896
2020,1,22,36.45492930783223,89.32390644550577,17.763442950962627,1010.6714755928505,7.5719725401661915
2020,1,23,30.236532178700017,85.05566521442387,0.17785776750716797,1012.8916293629719,4.4016976973081885
2020,1,24,22.844600848962784,54.80077017104322,13.15886470977299,1006.3662523653891,5.9394897601867225
2020,1,25,34.302156908539956,61.32026018386615,19.32439671083468,1014.396743932427,9.272268343413682
2020,1,26,39.737297358771904,75.2771982869862,8.599528697084827,1010.1342558918999,12.01264772426489
2020,1,27,39.43826304348666,82.27112838983345,6.732937667635577,1010.0859723594914,7.108986214177293
2020,1,28,34.234292144228434,68.44288837997709,4.043070220421356,1018.8383483234521,18.81834143078421
2020,1,29,20.20032093916564,71.69346961840006,16.18527567966396,1017.4737554429515,19.444019761930665
2020,1,30,20.82880140888094,72.57757986869049,5.470052285740492,1007.610013495151,2.6018115171958067
2020,1,31,29.05012216139826,83.32475358495293,10.703550285640041,1014.3689564644196,6.678470380345312
